,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
75,-15315,13095422,13095424,9455.2441,9468.5,-203014.1085000017,-0.0014019627478469854,2020-01-30 18:00:00+00:00,2020-01-30 18:00:00+00:00,0 days 00:00:00
76,-15465,13153025,13155968,9347.944529999999,9311.82,558665.8564499867,0.003864435639735153,2020-01-31 10:00:00+00:00,2020-01-31 10:49:03+00:00,0 days 00:49:03
77,20637,13318625,13326324,9383.488518000002,9412.0,588391.4540339601,0.003038473585309509,2020-02-02 08:00:00+00:00,2020-02-02 10:08:18+00:00,0 days 02:08:18
78,-15627,13419426,13425402,9338.9072,9310.0,451732.8143999945,0.0030953514561103956,2020-02-03 12:00:00+00:00,2020-02-03 13:39:35+00:00,0 days 01:39:35
79,21110,13563427,13569742,9252.124866000002,9280.0,588444.0787399593,0.003012835905666922,2020-02-05 04:00:00+00:00,2020-02-05 05:45:14+00:00,0 days 01:45:14
80,20012,13858628,13861841,9806.920494,9839.87,659385.5140720168,0.003359821874783231,2020-02-08 14:00:00+00:00,2020-02-08 14:53:33+00:00,0 days 00:53:33
81,-14686,13991828,13993041,10076.323370000002,10044.15,472498.11182003305,0.003192967198312746,2020-02-10 04:00:00+00:00,2020-02-10 04:20:12+00:00,0 days 00:20:12
82,20036,14114229,14118765,9885.250002,9917.63,648765.6399279704,0.0032755871620289145,2020-02-11 14:00:00+00:00,2020-02-11 15:15:35+00:00,0 days 01:15:35
83,-14463,14265430,14265984,10324.605288,10286.22,555166.420344019,0.0037178455669018007,2020-02-13 08:00:00+00:00,2020-02-13 08:09:13+00:00,0 days 00:09:13
84,19672,14279831,14282654,10166.232828000002,10197.68,618628.767583967,0.0030932964581911193,2020-02-13 12:00:00+00:00,2020-02-13 12:47:02+00:00,0 days 00:47:02
85,-6847,14348300,14350334,10185.290602000001,10130.34,376246.7718940055,0.00539509417524231,2020-02-14 07:01:07+00:00,2020-02-14 07:35:01+00:00,0 days 00:33:54
86,-14838,14344632,14350334,10158.847674,10130.34,422996.86681200605,0.002806191697603766,2020-02-14 06:00:00+00:00,2020-02-14 07:35:01+00:00,0 days 01:35:01
87,-17876,15748966,15752551,8485.833178,8459.17,476630.96992801246,0.0031420813302253103,2020-03-01 18:00:00+00:00,2020-03-01 18:59:45+00:00,0 days 00:59:45
88,23416,15792166,15794001,8670.131214,8698.0,652575.4929759786,0.0032143442021959068,2020-03-02 06:00:00+00:00,2020-03-02 06:30:34+00:00,0 days 00:30:34
89,-6306,15900286,15903523,8860.418024,8793.8,420093.2593440078,0.007518609598277992,2020-03-03 12:01:58+00:00,2020-03-03 12:55:55+00:00,0 days 00:53:57
90,-8015,15896686,15903523,8833.226146,8793.8,316000.5601900129,0.004463391443663589,2020-03-03 11:01:58+00:00,2020-03-03 12:55:55+00:00,0 days 01:53:57
91,-17372,15892967,15903523,8809.978738,8793.8,281057.03653600905,0.0018364105613805082,2020-03-03 10:00:00+00:00,2020-03-03 12:55:55+00:00,0 days 02:55:55
