,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
26,2990,10256229,10259204,54419.210382,54584.95,495561.45781999885,0.0030456086524699444,2021-04-30 08:00:00+00:00,2021-04-30 08:49:35+00:00,0 days 00:49:35
27,2781,11098629,11101692,58790.000934,58966.98,492178.7825459996,0.0030103599793898095,2021-05-10 02:00:00+00:00,2021-05-10 02:51:03+00:00,0 days 00:51:03
28,-2140,11141829,11142005,57576.310158,57384.15,411222.7381199974,0.0033374865022207656,2021-05-10 14:00:00+00:00,2021-05-10 14:02:55+00:00,0 days 00:02:55
29,-2632,11674631,11675339,47000.217446,46855.23,381606.95787199785,0.00308482500462004,2021-05-16 18:00:00+00:00,2021-05-16 18:11:48+00:00,0 days 00:11:48
30,-3646,13589831,13592129,34057.94203400001,33947.7,401942.45596403605,0.003236896518584609,2021-06-07 22:00:00+00:00,2021-06-07 22:38:18+00:00,0 days 00:38:18
31,1379,14083031,14086032,35806.739352000004,36016.93,289852.90359199466,0.005870142096260356,2021-06-13 15:00:00+00:00,2021-06-13 15:50:01+00:00,0 days 00:50:01
32,4626,14079431,14086032,35929.741314000006,36016.93,403334.8614359725,0.0024266438557969394,2021-06-13 14:00:00+00:00,2021-06-13 15:50:01+00:00,0 days 01:50:01
33,-3805,14749031,14749180,32979.234342,32870.32,414419.071310014,0.0033025127530416087,2021-06-21 08:00:00+00:00,2021-06-21 08:02:29+00:00,0 days 00:02:29
34,-3726,16189031,16189980,33814.71303200001,33711.65,384012.8572320204,0.003047875399754929,2021-07-08 00:00:00+00:00,2021-07-08 00:15:49+00:00,0 days 00:15:49
35,-876,17131588,17172803,31729.985742,31350.01,332858.74999200203,0.011975288772255621,2021-07-18 21:49:17+00:00,2021-07-19 09:16:12+00:00,0 days 11:26:55
36,-1139,17122760,17172803,31635.638014000004,31350.01,325330.30794600607,0.009028678791734968,2021-07-18 19:22:09+00:00,2021-07-19 09:16:12+00:00,0 days 13:54:03
37,-1454,17117831,17172803,31552.454634,31350.01,294354.49783600454,0.006416129469111298,2021-07-18 18:00:00+00:00,2021-07-19 09:16:12+00:00,0 days 15:16:12
38,-1860,17114231,17172803,31419.281338000004,31350.01,128844.68868001102,0.002204739734649075,2021-07-18 17:00:00+00:00,2021-07-19 09:16:12+00:00,0 days 16:16:12
39,-4037,17110631,17172803,31321.68816,31350.01,-114335.2680799874,-0.0009042245697397089,2021-07-18 16:00:00+00:00,2021-07-19 09:16:12+00:00,0 days 17:16:12
40,1506,17575260,17588658,33607.134210000004,33795.43,283573.4597399947,0.005602851728546687,2021-07-24 01:03:49+00:00,2021-07-24 04:47:07+00:00,0 days 03:43:18
41,5049,17571431,17588658,33697.11,33795.43,496417.67999999854,0.0029177576355954304,2021-07-24 00:00:00+00:00,2021-07-24 04:47:07+00:00,0 days 04:47:07
42,-3766,17708231,17708769,34129.172172,34022.99,399882.0597520027,0.0031111851018500447,2021-07-25 14:00:00+00:00,2021-07-25 14:08:57+00:00,0 days 00:08:57
43,4971,17737032,17740821,34604.258232,34714.19,546470.8187280109,0.0031768277552137736,2021-07-25 22:00:00+00:00,2021-07-25 23:03:08+00:00,0 days 01:03:08
44,4192,18169033,18169379,41247.89632200001,41376.6,539525.8181759613,0.0031202482908527784,2021-07-30 22:00:00+00:00,2021-07-30 22:05:46+00:00,0 days 00:05:46
45,-3161,18320233,18321091,41229.188214,41102.55,400303.39445399586,0.003071567001093567,2021-08-01 16:00:00+00:00,2021-08-01 16:14:17+00:00,0 days 00:14:17
46,-3445,18644234,18646433,37971.984692000005,37857.06,395915.5639400268,0.0030265653199902376,2021-08-05 10:00:00+00:00,2021-08-05 10:36:39+00:00,0 days 00:36:39
47,4511,18665834,18666090,38804.26001400001,38938.4,605105.476845976,0.003456836593497714,2021-08-05 16:00:00+00:00,2021-08-05 16:04:15+00:00,0 days 00:04:15
48,-2928,19234635,19235305,45085.561722,44948.01,402751.4420159898,0.0030509040310542357,2021-08-12 06:00:00+00:00,2021-08-12 06:11:10+00:00,0 days 00:11:10
49,-624,19831036,19852035,44777.214014,44983.93,-128990.7752640018,-0.004616544163184688,2021-08-19 08:10:01+00:00,2021-08-19 14:00:00+00:00,0 days 05:49:59
50,-848,19827436,19852035,44431.298974,44983.93,-468631.11004800233,-0.012437876874213938,2021-08-19 07:10:01+00:00,2021-08-19 14:00:00+00:00,0 days 06:49:59
51,-1082,19823426,19852035,44316.300198000004,44983.93,-722375.4457639955,-0.015065106947491191,2021-08-19 06:03:11+00:00,2021-08-19 14:00:00+00:00,0 days 07:56:49
52,-1390,19819826,19852035,44097.437036,44983.93,-1232225.2199599962,-0.020103049600735057,2021-08-19 05:03:11+00:00,2021-08-19 14:00:00+00:00,0 days 08:56:49
53,-3012,19816035,19852035,43982.98749000001,44983.93,-3014838.8401199803,-0.02275749254703463,2021-08-19 04:00:00+00:00,2021-08-19 14:00:00+00:00,0 days 10:00:00
54,3363,20154436,20156924,49885.47202200001,50040.0,519677.5900139697,0.003097654923097437,2021-08-23 02:00:00+00:00,2021-08-23 02:41:28+00:00,0 days 00:41:28
55,-2558,20233636,20235641,49414.253058,49259.96,394681.6423640075,0.003122440357823497,2021-08-24 00:00:00+00:00,2021-08-24 00:33:24+00:00,0 days 00:33:24
56,3545,20370437,20371681,47734.454808,47889.99,551372.2556399849,0.003258342273429138,2021-08-25 14:00:00+00:00,2021-08-25 14:20:43+00:00,0 days 00:20:43
57,-2667,20420838,20421888,47836.814568,47692.56,384726.9328560105,0.003015555473388498,2021-08-26 04:00:00+00:00,2021-08-26 04:17:29+00:00,0 days 00:17:29
58,3605,20543239,20543327,47351.940036,47498.9,529790.6702200053,0.00310356796127631,2021-08-27 14:00:00+00:00,2021-08-27 14:01:27+00:00,0 days 00:01:27
59,-2672,20680040,20680341,48153.330824,48005.0,396339.9617279918,0.0030803855405588942,2021-08-29 04:00:00+00:00,2021-08-29 04:05:00+00:00,0 days 00:05:00
60,3516,20744841,20745501,48965.706150000005,49116.18,529066.0565999819,0.003073045644211403,2021-08-29 22:00:00+00:00,2021-08-29 22:10:59+00:00,0 days 00:10:59
61,-2710,20766442,20769148,47886.285212,47742.23,390389.6245199981,0.0030082770330219777,2021-08-30 04:00:00+00:00,2021-08-30 04:45:05+00:00,0 days 00:45:05
62,1078,20885243,20888970,47876.934,48164.61,310114.7279999994,0.006008655441470001,2021-08-31 12:59:59+00:00,2021-08-31 14:02:06+00:00,0 days 01:02:07
63,3615,20881643,20888970,48041.784468000005,48164.61,444014.298179983,0.0025566396702396688,2021-08-31 12:00:00+00:00,2021-08-31 14:02:06+00:00,0 days 02:02:06
64,-2776,20910444,20913306,47233.78,47089.96,399244.3199999992,0.0030448547628413314,2021-08-31 20:00:00+00:00,2021-08-31 20:47:41+00:00,0 days 00:47:41
65,867,20975804,20984395,47465.75916,47860.0,341806.8082799988,0.008305794471148653,2021-09-01 14:09:18+00:00,2021-09-01 16:32:29+00:00,0 days 02:23:11
66,1096,20972204,20984395,47659.139514,47860.0,220143.09265599755,0.00421452187446647,2021-09-01 13:09:18+00:00,2021-09-01 16:32:29+00:00,0 days 03:23:11
67,3673,20968045,20984395,47783.974038,47860.0,279243.35842599894,0.0015910347251473222,2021-09-01 12:00:00+00:00,2021-09-01 16:32:29+00:00,0 days 04:32:29
68,3484,21342446,21343897,50757.491142,50918.16,559770.3012720158,0.0031654215837917388,2021-09-05 20:00:00+00:00,2021-09-05 20:24:11+00:00,0 days 00:24:11
69,-2550,21472046,21472948,52270.788302,52034.52,602484.1701000103,0.004520083007643616,2021-09-07 08:00:00+00:00,2021-09-07 08:15:01+00:00,0 days 00:15:01
70,-662,22036158,22091247,44833.065712,45972.28,-754159.8586559971,-0.025410135798388467,2021-09-13 20:41:51+00:00,2021-09-14 12:00:00+00:00,0 days 15:18:09
71,-853,22031868,22091247,44708.310614,45972.28,-1078165.8862579975,-0.02827146382051393,2021-09-13 19:30:21+00:00,2021-09-14 12:00:00+00:00,0 days 16:29:39
72,-1100,22028268,22091247,44530.869380000004,45972.28,-1585551.6819999947,-0.03236879585035379,2021-09-13 18:30:21+00:00,2021-09-14 12:00:00+00:00,0 days 17:29:39
73,-1397,22022887,22091247,44415.191556,45972.28,-2175252.5562680014,-0.0350575645280462,2021-09-13 17:00:40+00:00,2021-09-14 12:00:00+00:00,0 days 18:59:20
74,-3025,22019247,22091247,44299.333984000004,45972.28,-5060661.698399983,-0.03776458618100742,2021-09-13 16:00:00+00:00,2021-09-14 12:00:00+00:00,0 days 20:00:00
75,-1168,22267648,22270320,47969.7482,47721.52,289930.53760000586,0.005174682155200561,2021-09-16 12:59:59+00:00,2021-09-16 13:44:31+00:00,0 days 00:44:32
76,-2535,22264048,22270320,47823.163706,47721.52,257666.7947100065,0.002125407399327872,2021-09-16 12:00:00+00:00,2021-09-16 13:44:31+00:00,0 days 01:44:31
77,3389,22321649,22325142,47966.889762000006,48112.67,494049.2265819732,0.0030391847110229353,2021-09-17 04:00:00+00:00,2021-09-17 04:58:12+00:00,0 days 00:58:12
78,-2596,22372050,22372938,47176.070906,46970.23,534362.9919759938,0.004363248190171309,2021-09-17 18:00:00+00:00,2021-09-17 18:14:47+00:00,0 days 00:14:47
79,3421,22408051,22409955,47995.669998000005,48140.98,497105.51684199437,0.003027564820035966,2021-09-18 04:00:00+00:00,2021-09-18 04:31:43+00:00,0 days 00:31:43
80,-2575,22516052,22519846,48049.82593400001,47902.2,380136.7800500273,0.003072351067468726,2021-09-19 10:00:00+00:00,2021-09-19 11:03:13+00:00,0 days 01:03:13
81,-2937,22948053,22950110,42283.66987,42130.01,451299.0381899878,0.003634023973614897,2021-09-24 10:00:00+00:00,2021-09-24 10:34:17+00:00,0 days 00:34:17
82,4029,23113653,23113772,41277.577818000005,41404.62,511852.95127798954,0.0030777528313348235,2021-09-26 08:00:00+00:00,2021-09-26 08:01:58+00:00,0 days 00:01:58
83,-1345,23254132,23255552,43122.633674,42915.44,278675.4915299928,0.00480475463456953,2021-09-27 23:01:17+00:00,2021-09-27 23:24:57+00:00,0 days 00:23:40
84,-2914,23250454,23255552,43010.001580000004,42915.44,275552.44412000413,0.002198595129649372,2021-09-27 22:00:00+00:00,2021-09-27 23:24:57+00:00,0 days 01:24:57
85,448,24272437,24304478,54726.86049,55343.78,276379.9404799999,0.011272700543688785,2021-10-09 19:53:02+00:00,2021-10-10 04:47:03+00:00,0 days 08:54:01
86,569,24263144,24304478,54883.61964600001,55343.78,261831.24142599566,0.008384293109092056,2021-10-09 17:18:09+00:00,2021-10-10 04:47:03+00:00,0 days 11:28:54
87,720,24259542,24304478,55033.549254000005,55343.78,223366.13711999555,0.0056371204511662665,2021-10-09 16:18:07+00:00,2021-10-10 04:47:03+00:00,0 days 12:28:56
88,905,24254980,24304478,55179.30302400001,55343.78,148851.6632799917,0.0029807729888950973,2021-10-09 15:02:05+00:00,2021-10-10 04:47:03+00:00,0 days 13:44:58
89,3037,24251255,24304478,55327.370028,55343.78,49837.084964003916,0.0002965977235442896,2021-10-09 14:00:00+00:00,2021-10-10 04:47:03+00:00,0 days 14:47:03
90,-1072,24370087,24372397,54864.621844,54599.35,284371.4167680028,0.004835025469678178,2021-10-10 23:00:31+00:00,2021-10-10 23:39:01+00:00,0 days 00:38:30
91,-2324,24366455,24372397,54720.473934,54599.35,281492.0226160068,0.002213503014357965,2021-10-10 22:00:00+00:00,2021-10-10 23:39:01+00:00,0 days 01:39:01
92,3076,24380856,24383941,55414.461786,55584.18,522053.22626400134,0.0030627061696533175,2021-10-11 02:00:00+00:00,2021-10-11 02:51:24+00:00,0 days 00:51:24
93,-2260,24510457,24513258,56850.30798600001,56677.48,390591.24836000876,0.0030400536447852122,2021-10-12 14:00:00+00:00,2021-10-12 14:46:40+00:00,0 days 00:46:40
94,3128,24596858,24598510,54962.109378,55128.2,519531.4656159877,0.003021911347283135,2021-10-13 14:00:00+00:00,2021-10-13 14:27:31+00:00,0 days 00:27:31
95,-2243,24704859,24705369,57757.556058,57564.14,433832.21809400566,0.0033487576552888587,2021-10-14 20:00:00+00:00,2021-10-14 20:08:29+00:00,0 days 00:08:29
96,3024,24726460,24727653,57348.83612400001,57533.17,557425.6410239688,0.003214256617194877,2021-10-15 02:00:00+00:00,2021-10-15 02:19:52+00:00,0 days 00:19:52
97,835,26551855,26555590,62127.386742,62440.53,261474.620429997,0.005040341698265838,2021-11-05 05:03:14+00:00,2021-11-05 06:05:29+00:00,0 days 01:02:15
