,model_name,LMSWithSlopes_lms_threshold,LMSWithSlopes_long_slope_thresh,LMSWithSlopes_short_slope_thresh,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,long_count,short_count,long_pnl_sum,short_pnl_sum,combined_weight,long_short_count,long_vs_short_diff_pct,LMSWithSlopes_lms_threshold_RID0026,LMSWithSlopes_long_slope_thresh_RID0026,LMSWithSlopes_short_slope_thresh_RID0026,LMSWithSlopes_lms_threshold_RID0030,LMSWithSlopes_long_slope_thresh_RID0030,LMSWithSlopes_short_slope_thresh_RID0030,LMSWithSlopes_lms_threshold_RID0031,LMSWithSlopes_long_slope_thresh_RID0031,LMSWithSlopes_short_slope_thresh_RID0031,LMSWithSlopes_lms_threshold_RID0047,LMSWithSlopes_long_slope_thresh_RID0047,LMSWithSlopes_short_slope_thresh_RID0047,LMSWithSlopes_lms_threshold_RID0048,LMSWithSlopes_long_slope_thresh_RID0048,LMSWithSlopes_short_slope_thresh_RID0048,LMSWithSlopes_lms_threshold_RID0029,LMSWithSlopes_long_slope_thresh_RID0029,LMSWithSlopes_short_slope_thresh_RID0029,LMSWithSlopes_lms_threshold_RID0032,LMSWithSlopes_long_slope_thresh_RID0032,LMSWithSlopes_short_slope_thresh_RID0032,LMSWithSlopes_lms_threshold_RID0033,LMSWithSlopes_long_slope_thresh_RID0033,LMSWithSlopes_short_slope_thresh_RID0033,LMSWithSlopes_lms_threshold_RID0044,LMSWithSlopes_long_slope_thresh_RID0044,LMSWithSlopes_short_slope_thresh_RID0044,LMSWithSlopes_lms_threshold_RID0045,LMSWithSlopes_long_slope_thresh_RID0045,LMSWithSlopes_short_slope_thresh_RID0045,LMSWithSlopes_lms_threshold_RID0046,LMSWithSlopes_long_slope_thresh_RID0046,LMSWithSlopes_short_slope_thresh_RID0046
141,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.2237786588997677,0.0006896512771314,-0.0006170564348203,8.314724857244977,0.5054324820093128,7.465262342974655,10.62890350215164,-0.2381293493193846,1.1134992597835538,3461,3626,44151.90496290133,38995.343609547526,282.8887952231865,7087,0.023282065754197834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.176351316016296,0.0007622463674702,-0.0006170564348203,7.859551029808536,0.5123762376237624,7.340396719284859,10.443731575746291,-0.2136644635200489,1.1294687394836145,3107,3357,42464.55329406999,36130.95700401607,274.18523886859066,6464,0.03867574257425743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.2237786588997677,0.0007622463674702,-0.0006170564348203,7.799857228426989,0.5117199391171994,7.315313914489865,10.403174947075664,-0.2120012628488561,1.1291742242858107,3160,3410,41018.63454108271,36979.937743187154,270.27404375876614,6570,0.03805175038051756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.176351316016296,0.0007622463674702,-0.0006896515227675,7.552901855225765,0.5093689102083646,7.230996264517596,10.287927127405046,-0.2956357113080731,1.1280417137730367,3244,3427,40383.99400290529,35145.02454935268,227.4022621123966,6671,0.02743216909009144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.2712060017832394,0.0007622463674702,-0.0006170564348203,6.970619463500886,0.511515881378895,7.015148046361117,9.972393409733735,-0.2109486435144909,1.125910252542227,3198,3445,35630.52341062866,34075.67122438035,221.60307634500612,6643,0.03718199608610573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.2712060017832394,0.0006896512771314,-0.0006170564348203,7.317692648888227,0.504881450488145,7.123617051291171,10.137647775885728,-0.2617453549562685,1.1084987040620784,3503,3667,38017.926821196124,35158.99966768666,218.34473302184594,7170,0.022873082287308222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.4134880304336548,0.0007622463674702,-0.0006170564348203,6.834726807995048,0.5119845168974244,6.9625393888632985,9.897033660109706,-0.2323965280533586,1.1245555308830946,3235,3482,34814.38828603343,33532.87979391723,208.14622377680186,6717,0.03677236861694211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.176351316016296,0.0006170561867927,-0.0005444613468731,7.006847132699158,0.5090071219103477,7.00222522905787,10.025193109756309,-0.2495317472618855,1.0990302577407685,3502,3659,37197.24365521907,32871.2276717719,206.49868890874225,7161,0.02192431224689284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,RID0028_LSTM_pw75_lb250_bt2000_mem5000,1.3186333446667111,0.0007622463674702,-0.0006170564348203,6.871983464381211,0.5123373710183939,6.977433432606424,9.917902486694755,-0.2524998615924336,1.1236953752417036,3219,3468,34859.35831442538,33860.47632938664,204.65084770509037,6687,0.03723642889187978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,RID0029_LSTM_pw38_lb250_bt2000_mem6000,0.8282123056465182,0.0034901446115511,-0.0034901491865038,2.0319387537478675,0.550531914893617,6.841039417266052,9.73120472613608,-0.2965495768242339,1.196269033104863,487,641,15071.73992628365,5247.647611195031,62.66776006311781,1128,0.13652482269503546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,RID0029_LSTM_pw38_lb250_bt2000_mem6000,0.8282123056465182,0.0023732961330376,-0.0023733016293233,1.9774468739632756,0.5203960396039604,5.561963912198141,7.870607895894482,-0.3174343008876227,1.0804679506055532,1142,1383,15801.555899620536,3972.9128400123263,33.222445683275566,2525,0.09544554455445547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,RID0029_LSTM_pw38_lb250_bt2000_mem6000,0.8282123056465182,0.0012564476545241,-0.0029317254079136,2.030725029948662,0.5073051948051948,5.596518819836961,8.045599446064239,-0.3809682147265915,1.0952218494330872,1521,943,15321.576424644016,4985.673874842692,31.449363161778482,2464,0.23457792207792205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
